load,cycles,fracture
284.39285,1369000,TRUE
284.39285,10000000,FALSE
284.39285,10000000,FALSE
284.39285,10000000,FALSE
284.39285,10000000,FALSE
294.1995,411000,TRUE
294.1995,10000000,FALSE
294.1995,10000000,FALSE
294.1995,10000000,FALSE
294.1995,2295000,TRUE
304.00615,570000,TRUE
304.00615,7868000,TRUE
304.00615,1745000,TRUE
304.00615,10000000,FALSE
304.00615,502000,TRUE
313.8128,727000,TRUE
313.8128,231000,TRUE
313.8128,1826000,TRUE
313.8128,1943000,TRUE
313.8128,413000,TRUE
323.61945,1842000,TRUE
323.61945,2200000,TRUE
323.61945,166000,TRUE
323.61945,312000,TRUE
323.61945,981000,TRUE
333.4261,397000,TRUE
333.4261,532000,TRUE
333.4261,326000,TRUE
333.4261,146000,TRUE
333.4261,763000,TRUE
